"code_id","domain","code_name","definition","coding_rule","feedback_configuration","delivery_phase"
"C11","Sensemaking","Verification through shuttle, sound, or impact cues","Uses perceived shuttle flight, direction, distance, consistency, impact sound, or impact feel to judge a candidate adjustment.","Include: Outcome/contact cues are used in sensemaking. Exclude: Objective measures or general enjoyment. Boundary: Pair with C10 for a notice-hypothesize-check sequence. Note: These are perceived checks, not measured effects.","General/Unspecified","Unspecified"
"C12","Attention allocation","One-cue-at-a-time staging","Narrows attention to one cue/body area/goal or alternates action and inspection to manage multiple information sources.","Include: A concrete attentional-management strategy is described. Exclude: Clutter without a strategy. Boundary: C13 is when replay is consulted; C15 is competition cost. Note: Strategy and trade-off may co-occur.","Motion+Muscle","Both"
"C13","Attention allocation","Periodic or on-demand replay inspection","Consults replay occasionally, after a selected stroke, or when a question prompts review.","Include: Review is participant-initiated or need-triggered. Exclude: Required replay cadence or continuous monitoring. Boundary: C12 is cue selection; C17 is interaction overhead. Note: Do not infer a fixed frequency without source support.","Both AR configurations","Replay"
"C14","Attention allocation","Reward and salience of waveform matching","Describes waveform matching or an explicit muscle target as engaging, rewarding, motivating, or attention-capturing.","Include: Engagement is tied to a visible target or waveform match. Exclude: General enjoyment with no information target. Boundary: C15 captures salience that competes with posture. Note: Questionnaire findings should bound motivational interpretation.","Motion+Muscle","Both"
"C15","Attention allocation","Information competition or visual clutter","Added content competes for attention, makes the display busy, or shifts focus away from another relevant cue.","Include: The cost arises from multiple visual/informational elements. Exclude: Field of view, weight, or control effort alone. Boundary: Distinguish C16-C18. Note: Content and salience are bundled in this configuration.","Motion+Muscle","Both"
"C16","Interface constraints","Readability constraint from FOV, scale, or layout","Graphs, avatars, shuttle path, or comparison details are hard to see because of field of view, scale, placement, or angle.","Include: Visibility and legibility are the primary issue. Exclude: Manipulation effort or physical discomfort alone. Boundary: C17 is control overhead; C18 is wearability. Note: Often a headset/setup constraint rather than a muscle-content effect.","Both AR configurations","Both"
"C17","Interface constraints","Replay interaction and comparison overhead","Effort or missing controls affect triggering, moving to, pausing, scrubbing, rotating, scaling, toggling, synchronizing, or overlaying replay content.","Include: The problem concerns obtaining or manipulating the desired replay view. Exclude: Display-size or equipment discomfort alone. Boundary: C13 concerns strategic frequency; C16 concerns visibility. Note: Much of the replay workflow is shared by both AR configurations.","Both AR configurations","Replay"
"C18","Apparatus constraints","Wearability discomfort or execution interference","Headset or sensors add weight, rub, slip, obstruct, alter grip/gaze, create fear of dropping, or affect execution.","Include: A physical device changes comfort or movement. Exclude: Visual clutter or control usability with no physical effect. Boundary: Distinct from C16/C17. Note: Do not attribute shared apparatus costs to the muscle layer.","General/Unspecified","Both"
"C19","Personalization","Expert-reference personalization limit","Questions direct trace matching because of individual body size, strength, fatigue, pain, baseline technique, or expert-novice difference.","Include: Individual characteristics are invoked to qualify reference matching. Exclude: Generic missing instruction or display readability. Boundary: Related to C09/C20. Note: The account does not validate a physiological cause.","Both AR configurations","Replay"
"C20","Guidance gaps","Missing actionable correction guidance","Lacks an explicit indication of what to change, where to focus, how much to change, or what alignment is acceptable.","Include: A corrective direction or threshold is missing. Exclude: Personalization concern with no guidance need. Boundary: C21 concerns contact/outcome context. Note: Do not invent a requested threshold not present in source accounts.","Both AR configurations","Both"
"C21","Guidance gaps","Missing contact-point, racket-angle, or outcome guidance","Identifies missing shuttle-contact point, racket angle, expert shuttle trajectory, or target-outcome information.","Include: Contact or outcome context is needed to interpret form/EMG. Exclude: Generic correction guidance unrelated to contact/outcome. Boundary: Related to C20. Note: Indicates a boundary of form/EMG-only sensemaking.","Both AR configurations","Both"
"C22","Perceived change","Perceived short-session adjustment or progress","Reports a perceived improvement in understanding, posture, force use, contact, or shuttle outcome during the brief study.","Include: The participant positively describes an immediate change. Exclude: Researcher inference, objective result, or hypothetical long-term benefit only. Boundary: Consider C23 when the account is qualified. Note: Must be reported as perception, not learning.","General/Unspecified","Unspecified"
"C23","Perceived change","Uncertainty about embodiment, learning, or outcome attribution","Qualifies whether understanding became embodied, performance truly changed, or change came from feedback rather than repetition, fatigue, or chance.","Include: The account expresses uncertainty or an alternative explanation. Exclude: Unqualified positive progress. Boundary: Complements but should not be merged with C22. Note: Directly bounds learning and causal claims.","General/Unspecified","Unspecified"
"C24","Contextual comparison","No Feedback lacks a comparison reference","Describes No Feedback as ordinary, guess-based, or outcome-only practice without an expert comparison or structured basis for correction.","Include: The account explicitly contrasts No Feedback with a reference-supported condition. Exclude: Motion-Only versus Motion+Muscle comparison only. Boundary: Context code, not focal component evidence. Note: No Feedback also lacks AR and replay, so comparisons are contextual.","No Feedback","Unspecified"
"C25","Guidance gaps","Coach-system complementarity","Proposes brief human instruction to supply action/contact context while the system supports repeated self-review.","Include: Human and system roles are complementary. Exclude: General mention of coaches. Boundary: Related to C20/C21. Note: A design implication, not a tested deployment model.","General/Unspecified","Both"
